valence,arousal,Dominance,Pattern,Extracted_Roll_Number,participant_id,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
2.927142857142857,8.19,6.972857142857142,mit003,3,124,55.0,79.0,91.0,98.0,99.0
6.24,7.0725,6.385,mit004,4,79,41.0,73.0,80.0,92.0,97.0
3.1557142857142857,4.4557142857142855,3.44,mit007,7,41,81.0,80.0,95.0,92.0,79.0
4.500625,6.293125,3.675625,mit014,14,64,99.0,60.0,75.0,97.0,83.0
2.5342857142857143,5.405714285714286,4.107142857142857,mit017,17,48,66.0,72.0,72.0,75.0,74.0
3.148333333333333,4.077916666666667,3.105833333333333,mit022,22,8,89.0,83.0,65.0,82.0,64.0
2.275714285714286,7.001428571428572,2.147142857142857,mit023,23,69,75.0,74.0,75.0,93.0,93.0
1.087,7.994,7.362,mit032,32,130,66.0,70.0,77.0,67.0,72.0
3.963888888888889,6.914444444444444,4.987222222222222,mit035,35,99,80.0,61.0,81.0,75.0,75.0
6.168,4.4,4.95,mit040,40,30,58.0,86.0,84.0,78.0,70.0
2.713846153846154,5.3538461538461535,3.473076923076923,mit051,51,125,67.0,86.0,86.0,83.0,82.0
1.012,7.68,6.204,mit054,54,75,53.0,74.0,77.0,93.0,101.0
6.423333333333333,6.71,5.8677777777777775,mit061,61,46,71.0,84.0,84.0,80.0,81.0
2.77,6.572857142857143,4.648571428571429,mit067,67,92,74.0,76.0,85.0,84.0,77.0
3.6978125,6.4565625,5.0084375,mit072,72,72,45.0,86.0,88.0,112.0,112.0
1.0375,8.4825,7.0075,mit076,76,93,72.0,76.0,66.0,98.0,89.0
4.794347826086956,8.783478260869565,5.599565217391304,mit079,79,83,72.0,82.0,73.0,76.0,77.0
2.025,7.678333333333334,2.438333333333333,mit080,80,117,78.0,79.0,78.0,84.0,79.0
3.2975,6.16,4.7375,mit081,81,82,71.0,76.0,80.0,75.0,75.0
3.463913043478261,7.389565217391304,5.753478260869565,mit082,82,10,66.0,73.0,76.0,80.0,86.0
4.814,7.62,7.194,mit096,96,81,69.0,75.0,83.0,85.0,86.0
2.52875,5.0775,4.0475,mit097,97,12,70.0,80.0,84.0,85.0,72.0
3.147142857142857,6.384761904761905,4.719047619047619,mit099,99,37,79.0,75.0,77.0,93.0,68.0
7.396,8.616,6.21,mit104,104,62,83.0,83.0,84.0,92.0,76.0
6.23,5.806666666666667,6.624444444444444,mit106,106,73,70.0,95.0,83.0,75.0,83.0
3.016,4.002,3.658,mit107,107,38,83.0,86.0,66.0,71.0,75.0
4.349090909090909,7.17,5.908181818181818,mit111,111,115,68.0,91.0,87.0,84.0,90.0
3.5216666666666665,4.681666666666667,2.995,mit113,113,97,72.0,90.0,88.0,95.0,86.0
4.384166666666666,8.563333333333333,7.30625,mit114,114,68,46.0,81.0,78.0,83.0,97.0
3.4033333333333333,4.174166666666666,5.710833333333333,mit116,116,56,73.0,76.0,81.0,88.0,77.0
3.505,4.735,8.29,mit117,117,17,49.0,99.0,105.0,98.0,108.0
4.512666666666667,6.282666666666667,7.200666666666667,mit121,121,77,75.0,71.0,87.0,96.0,81.0
3.295,8.215,4.630555555555556,mit122,122,98,63.0,77.0,98.0,98.0,96.0
1.104,5.31,2.33,mit123,123,100,62.0,73.0,82.0,74.0,92.0
