valence,arousal,Dominance,Pattern
2.927142857142857,8.19,6.972857142857142,mit003
6.24,7.0725,6.385,mit004
3.1557142857142857,4.4557142857142855,3.44,mit007
4.500625,6.293125,3.675625,mit014
2.5342857142857143,5.405714285714286,4.107142857142857,mit017
3.1483333333333334,4.077916666666667,3.1058333333333334,mit022
2.275714285714286,7.001428571428572,2.1471428571428572,mit023
3.8725,4.77375,4.66375,mit024
1.087,7.994,7.362,mit032
3.963888888888889,6.914444444444444,4.987222222222222,mit035
2.385,6.65,5.256666666666667,mit039
6.168,4.4,4.95,mit040
2.713846153846154,5.3538461538461535,3.473076923076923,mit051
4.1121428571428575,5.773214285714285,2.057857142857143,mit052
1.012,7.68,6.204,mit054
6.423333333333333,6.71,5.8677777777777775,mit061
2.77,6.572857142857143,4.648571428571429,mit067
3.6978125,6.4565625,5.0084375,mit072
2.84,6.761052631578948,3.318421052631579,mit074
1.0375,8.4825,7.0075,mit076
4.794347826086956,8.783478260869565,5.599565217391304,mit079
2.025,7.678333333333334,2.4383333333333335,mit080
3.2975,6.16,4.7375,mit081
3.463913043478261,7.389565217391304,5.753478260869565,mit082
4.814,7.62,7.194,mit096
2.52875,5.0775,4.0475,mit097
3.1471428571428572,6.384761904761905,4.719047619047619,mit099
7.396,8.616,6.21,mit104
6.23,5.806666666666667,6.624444444444444,mit106
3.016,4.002,3.658,mit107
2.7175,5.66375,2.96375,mit108
4.349090909090909,7.17,5.908181818181818,mit111
3.5216666666666665,4.681666666666667,2.995,mit113
4.384166666666666,8.563333333333333,7.30625,mit114
3.4033333333333333,4.174166666666666,5.710833333333333,mit116
3.505,4.735,8.29,mit117
4.512666666666667,6.282666666666667,7.200666666666667,mit121
3.295,8.215,4.6305555555555555,mit122
1.104,5.31,2.33,mit123
3.1685714285714286,5.76,4.731428571428571,mitb201
