trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.stopped,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.028531499992823228,0.03791250000358559,4.009080699994229,,,,,,,,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
0,0,0,0,4.01459029999387,,,,,4.009648399995058,4.01459029999387,7.002763800002867,None,,,,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
1,0,1,0,7.0073214000003645,,,,,7.003088800003752,7.0073214000003645,9.994811500000651,None,9.999317900001188,,,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
2,0,2,0,9.999317900001188,,,,,9.995072099991376,9.999317900001188,12.987789899998461,None,12.992842999999993,,,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
3,0,3,0,12.992842999999993,,,,,12.9880470999924,12.992842999999993,15.832308900004136,n,,2.7886511999968207,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
4,0,4,0,15.837976700000581,,,,,15.833139599999413,15.837976700000581,17.140399900003104,space,,1.3008950000075856,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
5,0,5,0,17.149992399994517,,,,,17.140758800000185,17.149992399994517,17.36250459999428,space,,0.2065489999949932,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
6,0,6,0,17.37231759999122,,,,,17.362857699990855,17.37231759999122,17.522811399991042,space,,0.14653449998877477,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
7,0,7,0,17.53193709999323,,,,,17.52329820000159,17.53193709999323,17.72951639999519,space,,0.188948299997719,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
8,0,8,0,17.7347768000036,,,,,17.72987500000454,17.7347768000036,20.411207500001183,space,,2.671041499997955,None,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
9,0,9,0,20.42017840000335,,,,,20.411594599994714,20.42017840000335,23.408941799993045,None,23.426882100000512,,,3,001,2024-05-17_04h32.23.300,Trail2,2024.1.4,None,2024-05-17 04h32.36.168768 +0530,
